23,20
95,92
21,22
93,94
167,164
239,236
165,166
237,238
311,308
383,380
309,310
381,382
455,452
527,524
453,454
525,526
599,596
671,668
597,598
669,670
743,740
815,812
741,742
813,814
887,884
959,956
885,886
957,958
1031,1028
1103,1100
1029,1030
1101,1102
1175,1172
1247,1244
1173,1174
1245,1246
1319,1316
1391,1388
1317,1318
1389,1390
1463,1460
1535,1532
1461,1462
1533,1534
1607,1604
1679,1676
1605,1606
1677,1678
1751,1748
1823,1820
1749,1750
1821,1822
1895,1892
1967,1964
1893,1894
1965,1966
2039,2036
2111,2108
2037,2038
2109,2110
2183,2180
2255,2252
2181,2182
2253,2254
2327,2324
2399,2396
2325,2326
2397,2398
2471,2468
2543,2540
2469,2470
2541,2542
2615,2612
2687,2684
2613,2614
2685,2686
2759,2756
2831,2828
2757,2758
2829,2830
2903,2900
2975,2972
2901,2902
2973,2974
3047,3044
3119,3116
3045,3046
3117,3118
3191,3188
3263,3260
3189,3190
3261,3262
3335,3332
3407,3404
3333,3334
3405,3406
3479,3476
3551,3548
3477,3478
3549,3550
3623,3620
3695,3692
3621,3622
3693,3694
3767,3764
3839,3836
3765,3766
3837,3838
3911,3908
3983,3980
3909,3910
3981,3982
4055,4052
4127,4124
4053,4054
4125,4126
4199,4196
4271,4268
4197,4198
4269,4270
4343,4340
4415,4412
4341,4342
4413,4414
4487,4484
4559,4556
4485,4486
4557,4558
4631,4628
4703,4700
4629,4630
4701,4702
4775,4772
4847,4844
4773,4774
4845,4846
4919,4916
4991,4988
4917,4918
4989,4990
5063,5060
5135,5132
5061,5062
5133,5134
5207,5204
5279,5276
5205,5206
5277,5278
5351,5348
5423,5420
5349,5350
5421,5422
5495,5492
5567,5564
5493,5494
5565,5566
5639,5636
5711,5708
5637,5638
5709,5710
5783,5780
5855,5852
5781,5782
5853,5854
5927,5924
5999,5996
5925,5926
5997,5998
6071,6068
6143,6140
6069,6070
6141,6142
6215,6212
6287,6284
6213,6214
6285,6286
6359,6356
6431,6428
6357,6358
6429,6430
6503,6500
6575,6572
6501,6502
6573,6574
6647,6644
6719,6716
6645,6646
6717,6718
6791,6788
6863,6860
6789,6790
6861,6862
6935,6932
7007,7004
6933,6934
7005,7006
7079,7076
7151,7148
7077,7078
7149,7150
7223,7220
7295,7292
7221,7222
7293,7294
7367,7364
7439,7436
7365,7366
7437,7438
7511,7508
7583,7580
7509,7510
7581,7582
7655,7652
7727,7724
7653,7654
7725,7726
7799,7796
7871,7868
7797,7798
7869,7870
7943,7940
8015,8012
7941,7942
8013,8014
8087,8084
8159,8156
8085,8086
8157,8158
8231,8228
8303,8300
8229,8230
8301,8302
8375,8372
8447,8444
8373,8374
8445,8446
8519,8516
8591,8588
8517,8518
8589,8590
8663,8660
8735,8732
8661,8662
8733,8734
8807,8804
8879,8876
8805,8806
8877,8878
8951,8948
9023,9020
8949,8950
9021,9022
9095,9092
9167,9164
9093,9094
9165,9166
